X,Y,Reachability_Distance,Core_Distance,Core_points_index
13594666.37,4509729.442,,6.038259351990026,0
13594666.44,4509728.709,6.038259351990026,5.513122618262925,1
13594666.23,4509727.693,6.038259351990026,4.844401820485984,2
13594666.46,4509727.193,6.038259351990026,4.303184402052277,3
13594666.7,4509726.28,6.038259351990026,3.47124242925931,4
13594667.41,4509725.14,6.038259351990026,2.30329242569641,5
13594666.8,4509724.362,6.038259351990026,2.371915048880003,6
13594666.77,4509723.679,6.038259351990026,2.084490584761208,7
13594666.95,4509722.957,6.510885115892901,1.9384243615893182,8
13594667.03,4509721.937,7.53396475957508,1.8871735481269192,9
13594666.63,4509721.332,8.11416662333135,2.1354990047451063,10
13594667.09,4509720.432,9.038722254662868,1.9702134408859344,11
13594669.03,4509720.882,8.963771527307982,0.9741606639110602,12
13594668.81,4509720.257,9.50356906635696,1.2401951449635649,13
13594668.99,4509718.974,10.790895421286544,1.9124654237937087,14
13594670.07,4509718.573,11.481513881328386,2.3281967271062025,15
13594669.22,4509724.205,6.038259351990026,1.6323296229084463,16
13594672.07,4509722.122,9.277521220857919,1.723027858938693,17
13594672.08,4509721.024,10.17186433272862,1.5962455951551295,18
13594671.86,4509720.373,10.601266952816852,1.6681669581790486,19
13594671.8,4509719.58,11.258061290102368,2.095420961130999,20
13594669.85,4509720.347,9.738040100470318,1.1414744859530639,21
13594671.75,4509719.859,10.989917606689389,1.9288413615781284,22
13594670.88,4509719.855,10.594841622341468,1.4856163697139306,23
13594670.11,4509719.981,10.173402626656854,1.341059655337574,24
13594669.46,4509719.725,10.196479245997873,1.4259382875852271,25
13594668.56,4509719.686,9.998781726135023,1.5427083329976536,26
13594667.51,4509719.305,10.200900401605425,2.2097803060493173,27
13594671.41,4509719.412,11.225083519288143,1.9749605052115797,28
13594670.48,4509719.545,10.716469055059685,1.6374141201288122,29
13594670.29,4509721.628,8.742139097684177,1.0932469987228681,30
13594669.41,4509721.625,8.387317151679696,1.0811849981168764,31
13594671.74,4509722.62,8.681968901524286,1.7568619764611184,32
13594670.9,4509722.597,8.208223011543389,1.3841184922715868,33
13594670.33,4509722.503,7.98945060755076,1.399577078594245,34
13594672.19,4509721.313,9.997651774241145,1.6140582397383665,35
13594671.42,4509721.239,9.63284532230063,1.1132120189842605,36
13594670.61,4509721.207,9.262441632316964,1.0303247057412521,37
13594669.64,4509721.059,8.998199208731394,1.0105983379750005,38
13594668.76,4509721.122,8.656471567117343,1.043227684605754,39
13594667.95,4509721.037,8.55221754895296,1.3717856974241465,40
13594669.41,4509721.625,8.387317151679696,1.0811849981168764,41
13594670.98,4509723.956,7.16577253385402,2.1334610375953154,42
13594670.5,4509723.926,6.890802275851421,1.9550969280933348,43
13594669.4,4509723.666,6.522505347078101,1.318992418505611,44
13594670.17,4509722.342,8.052949770138426,1.2757444887200595,45
13594669.56,4509720.49,9.503389079748661,1.0779615008178518,46
13594669.44,4509719.727,10.18852908907535,1.432308975379579,47
13594671.98,4509722.65,8.809277155733005,1.8781504203196124,48
13594671.9,4509721.782,9.447565824881423,1.4123473374641622,49
13594672.09,4509722.005,9.382290179186109,1.669618219251713,50
13594671.67,4509722.099,9.055917899321608,1.4581635721166752,51
13594671.0,4509722.047,8.72484527089034,1.21100165239818,52
13594670.08,4509721.962,8.349520944305072,1.1216634964196588,53
13594672.04,4509720.61,10.495385842826884,1.7477127907473864,54
13594670.91,4509720.839,9.727446171058762,1.168616276085425,55
13594670.28,4509720.504,9.755815906556988,1.1310353653113259,56
13594669.44,4509720.22,9.719577357224265,1.1593118656456094,57
13594668.65,4509720.856,8.883568877855957,1.1734564328507617,58
13594667.69,4509720.169,9.366479007696322,1.772253086230144,59
13594671.45,4509720.573,10.220839544764992,1.4133944946650507,60
13594670.8,4509720.661,9.83518484854072,1.2263784083150238,61
13594669.89,4509720.47,9.637799749484794,1.0532240979328713,62
13594669.27,4509720.274,9.615727949291387,1.0959014551144628,63
13594668.49,4509720.283,9.40115317416697,1.3873269267513604,64
13594668.64,4509720.746,8.98739762101707,1.1685636477432182,65
13594667.42,4509719.348,10.148464711127055,2.223793155406998,66
13594667.82,4509719.948,9.604089545722212,1.781219806473524,67
13594668.32,4509720.706,8.950988548579891,1.3227172782949053,68
13594669.28,4509720.701,9.2126641636043,0.9924595719594761,69
13594669.95,4509720.849,9.30892308435395,0.9600520828219529,70
13594670.54,4509720.939,9.470475647606252,1.0622565593372897,71
13594671.44,4509721.092,9.768694897313598,1.216016446961941,72
13594667.83,4509720.918,8.648131359210911,1.4320349158687256,73
13594668.65,4509720.856,8.883568877855957,1.1734564328507617,74
13594669.68,4509721.0,9.067715478563601,1.040017306928558,75
13594670.35,4509721.082,9.259049626910556,1.0885311198865144,76
13594671.24,4509721.364,9.432443162090454,1.1555262869776985,77
13594671.97,4509721.322,9.86379237507077,1.4804016360611367,78
13594669.95,4509722.745,7.593827032296821,1.3460033425767854,79
